Potential (mV) / Current (µA)	testset1	testset2
7.434081999999989	-32.89999999999999	-80637.89999999998
9.875488000000018	-31.7	-77696.7
12.316895000000017	-30.799999999999997	-75490.8
14.758301000000017	-29.9	-73284.9
17.19970699999999	-29.2	-71569.2
19.64111300000002	-28.499999999999996	-69853.5
22.082520000000017	-27.9	-68382.9
24.523926000000017	-27.300000000000004	-66912.3
26.96533199999999	-26.8	-65686.8
29.40673800000002	-26.2	-64216.19999999999
31.848145000000017	-25.700000000000003	-62990.7
34.28955099999999	-25.2	-61765.19999999999
36.73095699999999	-24.7	-60539.7
39.17236300000002	-24.2	-59314.19999999999
41.61377000000002	-23.7	-58088.69999999999
44.05517599999999	-23.3	-57108.30000000001
46.49658199999999	-22.8	-55882.799999999996
48.93798800000002	-22.4	-54902.399999999994
51.37939500000002	-21.9	-53676.9
53.82080099999999	-21.5	-52696.5
56.26220699999999	-21.1	-51716.09999999999
58.70361300000002	-20.6	-50490.600000000006
61.14502000000002	-20.2	-49510.2
63.58642599999999	-19.8	-48529.799999999996
66.02783199999999	-19.4	-47549.40000000001
68.46923800000002	-18.9	-46323.9
70.91064500000002	-18.5	-45343.5
73.35205099999999	-18.2	-44608.2
75.793457	-17.8	-43627.8
78.234863	-17.4	-42647.4
80.67627	-16.9	-41421.899999999994
83.11767599999999	-16.6	-40686.6
85.559082	-16.2	-39706.2
88.000488	-15.8	-38725.8
90.441895	-15.399999999999999	-37745.4
92.88330099999999	-14.999999999999998	-36765.0
95.324707	-14.7	-36029.7
97.766113	-14.300000000000002	-35049.3
100.20752	-13.9	-34068.9
102.64892599999999	-13.500000000000002	-33088.5
105.090332	-13.1	-32108.099999999995
107.531738	-12.700000000000001	-31127.699999999997
109.973145	-12.3	-30147.300000000003
112.41455099999999	-12.0	-29412.0
114.855957	-11.6	-28431.6
117.297363	-11.3	-27696.299999999996
119.73877	-10.9	-26715.9
122.18017599999999	-10.5	-25735.5
124.621582	-10.2	-25000.2
127.062988	-9.78	-23970.78
129.504395	-9.41	-23063.91
131.945801	-9.04	-22157.04
134.387207	-8.64	-21176.64
136.82861300000002	-8.280000000000001	-20294.280000000002
139.27002	-7.96	-19509.96
141.711426	-7.54	-18480.54
144.152832	-7.279999999999999	-17843.28
146.594238	-6.86	-16813.86
149.035645	-6.489999999999999	-15906.99
151.477051	-6.09	-14926.59
153.918457	-5.79	-14191.29
156.359863	-5.36	-13137.36
158.80127	-5.03	-12328.53
161.24267600000002	-4.69	-11495.19
163.684082	-4.359999999999999	-10686.36
166.125488	-3.9400000000000004	-9656.939999999999
168.566895	-3.63	-8897.13
171.008301	-3.21	-7867.71
173.449707	-2.8499999999999996	-6985.35
175.891113	-2.47	-6053.969999999999
178.33252	-2.1100000000000003	-5171.61
180.773926	-1.72	-4215.72
183.215332	-1.4500000000000002	-3553.9500000000003
185.656738	-1.01	-2475.51
188.098145	-0.6719999999999999	-1647.0720000000001
190.539551	-0.245	-600.495
192.980957	0.0916	224.51160000000002
195.422363	0.493	1208.3429999999998
197.86377	0.8170000000000001	2002.4669999999999
200.305176	1.21	2965.71
202.746582	1.6300000000000001	3995.1300000000006
205.187988	1.99	4877.49
207.629395	2.33	5710.83
210.070801	2.77	6789.27
212.512207	3.1599999999999997	7745.16
214.953613	3.52	8627.52
217.39502	3.98	9754.98
219.836426	4.4	10784.4
222.277832	4.7700000000000005	11691.27
224.719238	5.180000000000001	12696.18
227.160645	5.609999999999999	13750.109999999999
229.602051	6.1	14951.1
232.043457	6.500000000000001	15931.500000000002
234.484863	7.000000000000001	17157.0
236.92627	7.46	18284.46
239.36767600000002	7.84	19215.84
241.809082	8.46	20735.46
244.250488	8.87	21740.37
246.691895	9.36	22941.36
249.133301	9.9	24264.899999999998
251.574707	10.5	25735.5
254.016113	11.0	26961.000000000004
256.45752	11.6	28431.6
258.898926	12.2	29902.2
261.340332	12.799999999999999	31372.8
263.781738	13.4	32843.4
266.223145	14.000000000000002	34314.0
268.66455099999996	14.800000000000002	36274.8
271.105957	15.6	38235.6
273.547363	16.4	40196.4
275.98877	17.2	42157.19999999999
278.43017599999996	18.0	44118.0
280.871582	18.8	46078.8
283.312988	19.8	48529.799999999996
285.754395	20.8	50980.80000000001
288.19580099999996	21.8	53431.8
290.637207	22.9	56127.9
293.078613	24.1	59069.100000000006
295.52002	25.2	61765.19999999999
297.96142599999996	26.5	64951.49999999999
300.402832	27.9	68382.9
302.844238	29.4	72059.4
305.285645	30.9	75735.9
307.72705099999996	32.7	80147.7
310.168457	34.4	84314.39999999998
312.609863	36.4	89216.4
315.05127	38.5	94363.5
317.49267599999996	40.9	100245.9
319.934082	43.5	106618.49999999999
322.375488	46.4	113726.4
324.816895	49.8	122059.8
327.25830099999996	53.6	131373.6
329.699707	58.099999999999994	142403.1
332.141113	63.300000000000004	155148.3
334.58252000000005	69.5	170344.49999999997
337.02392599999996	76.8	188236.8
339.465332	85.40000000000002	209315.40000000002
341.906738	95.3	233580.3
344.34814500000005	105.98799999999999	259776.58800000002
346.78955099999996	117.00399999999999	286776.804
349.230957	128.479	314902.029
351.672363	139.465	341828.715
354.11377000000005	149.81099999999998	367186.76100000006
356.55517599999996	158.722	389027.62200000003
358.996582	166.779	408775.32899999997
361.437988	173.30900000000003	424780.359
363.87939500000005	178.04	436376.04000000004
366.32080099999996	181.488	444827.088
368.762207	183.31900000000002	449314.869
371.203613	184.08200000000002	451184.982
373.64502000000005	183.62400000000002	450062.42399999994
376.086426	182.15900000000002	446471.709
378.527832	179.565	440113.815
380.969238	176.208	431885.80799999996
383.41064500000005	172.08900000000003	421790.139
385.852051	167.32799999999997	410120.928
388.293457	161.92600000000002	396880.626
390.734863	156.097	382593.74700000003
393.17627000000005	149.689	366887.739
395.617676	143.097	350730.74700000003
398.059082	136.414	334350.714
400.500488	129.54700000000003	317519.697
402.94189500000005	122.74200000000002	300840.642
405.383301	116.05799999999999	284458.158
407.824707	109.467	268303.61699999997
410.266113	103.333	253269.18300000002
412.70752000000005	97.4	238727.39999999997
415.148926	91.89999999999999	225246.9
417.590332	86.9	212991.9
420.031738	82.2	201472.2
422.47314500000005	78.0	191178.0
424.914551	74.1	181619.1
427.355957	70.70000000000002	173285.7
429.797363	67.5	165442.5
432.23877000000005	64.8	158824.8
434.680176	62.199999999999996	152452.2
437.121582	59.8	146569.8
439.562988	57.70000000000001	141422.7
442.00439500000005	55.8	136765.8
444.445801	54.1	132599.1
446.887207	52.5	128677.5
449.328613	51.1	125246.1
451.77002	49.70000000000001	121814.7
454.211426	48.5	118873.5
456.652832	47.4	116177.39999999998
459.094238	46.3	113481.3
461.535645	45.3	111030.30000000002
463.977051	44.5	109069.5
466.418457	43.7	107108.7
468.859863	42.9	105147.90000000001
471.30127	42.2	103432.19999999998
473.742676	41.4	101471.4
476.184082	40.8	100000.8
478.625488	40.2	98530.2
481.066895	39.6	97059.59999999999
483.508301	39.1	95834.1
485.949707	38.6	94608.6
488.391113	38.099999999999994	93383.09999999999
490.83252	37.6	92157.6
493.273926	37.2	91177.2
495.715332	36.900000000000006	90441.9
498.156738	36.5	89461.5
500.598145	36.099999999999994	88481.1
503.039551	35.8	87745.80000000002
505.480957	35.6	87255.6
507.922363	35.3	86520.29999999999
510.36377	35.10000000000001	86030.09999999999
512.8051760000001	34.8	85294.8
515.246582	34.6	84804.6
517.687988	34.4	84314.39999999998
520.1293949999999	34.3	84069.3
522.5708010000001	34.1	83579.1
525.012207	34.0	83334.0
527.453613	33.9	83088.9
529.8950199999999	33.8	82843.79999999999
532.3364260000001	33.699999999999996	82598.7
534.777832	33.699999999999996	82598.7
537.2192379999999	33.6	82353.6
539.6606449999999	33.6	82353.6
542.1020510000001	33.5	82108.5
544.543457	33.5	82108.5
546.9848629999999	33.4	81863.4
549.4262699999999	33.4	81863.4
551.8676760000001	33.4	81863.4
554.309082	33.4	81863.4
556.7504879999999	33.4	81863.4
559.1918949999999	33.4	81863.4
561.6333010000001	33.4	81863.4
564.074707	33.3	81618.3
566.5161129999999	33.3	81618.3
568.9575199999999	33.3	81618.3
571.3989260000001	33.3	81618.3
573.840332	33.2	81373.2
576.2817379999999	33.2	81373.2
578.7231449999999	33.1	81128.1
581.1645510000001	33.0	80883.00000000001
583.605957	32.89999999999999	80637.89999999998
586.0473629999999	32.8	80392.8
588.4887699999999	32.7	80147.7
590.9301760000001	32.50000000000001	79657.5
593.371582	32.29999999999999	79167.3
595.8129879999999	32.2	78922.2
598.2543949999999	32.0	78432.0
600.6958010000001	31.8	77941.8
603.137207	31.6	77451.6
605.5786129999999	31.4	76961.39999999998
608.0200199999999	31.2	76471.2
610.4614260000001	30.9	75735.9
612.902832	30.7	75245.7
615.3442379999999	30.4	74510.4
617.7856449999999	30.2	74020.2
620.2270510000001	29.999999999999996	73530.0
622.668457	29.7	72794.7
625.1098629999999	29.4	72059.4
627.5512699999999	29.2	71569.2
629.9926760000001	28.9	70833.9
632.434082	28.699999999999996	70343.7
634.8754879999999	28.4	69608.4
637.3168949999999	28.2	69118.20000000001
639.7583010000001	28.000000000000004	68628.0
642.199707	27.8	68137.8
644.6411129999999	27.600000000000005	67647.60000000002
647.0825199999999	27.399999999999995	67157.4
649.5239260000001	27.2	66667.2
651.965332	27.000000000000004	66177.0
654.4067379999999	26.8	65686.8
656.8481449999999	26.6	65196.600000000006
659.2895510000001	26.5	64951.49999999999
661.730957	26.3	64461.299999999996
664.1723629999999	26.2	64216.19999999999
666.6137699999999	26.1	63971.100000000006
669.0551760000001	25.9	63480.899999999994
671.496582	25.8	63235.80000000001
673.9379879999999	25.700000000000003	62990.7
676.3793949999999	25.5	62500.5
678.8208010000001	25.400000000000002	62255.399999999994
681.262207	25.400000000000002	62255.399999999994
683.7036129999999	25.3	62010.3
686.1450199999999	25.2	61765.19999999999
688.5864260000001	25.1	61520.1
691.027832	25.0	61275.0
693.4692379999999	24.9	61029.9
695.9106449999999	24.9	61029.9
698.3520510000001	24.8	60784.80000000001
700.793457	24.8	60784.80000000001
703.2348629999999	24.7	60539.7
705.67627	24.7	60539.7
708.1176760000001	24.6	60294.600000000006
710.559082	24.6	60294.600000000006
713.000488	24.6	60294.600000000006
715.441895	24.5	60049.5
717.8833010000001	24.5	60049.5
720.324707	24.5	60049.5
722.766113	24.4	59804.4
725.20752	24.5	60049.5
727.6489260000001	24.4	59804.4
730.090332	24.4	59804.4
732.531738	24.4	59804.4
734.973145	24.299999999999997	59559.30000000001
737.4145510000001	24.299999999999997	59559.30000000001
739.855957	24.299999999999997	59559.30000000001
742.297363	24.299999999999997	59559.30000000001
744.73877	24.299999999999997	59559.30000000001
747.1801760000001	24.299999999999997	59559.30000000001
749.621582	24.299999999999997	59559.30000000001
752.062988	24.299999999999997	59559.30000000001
754.504395	24.299999999999997	59559.30000000001
756.9458010000001	24.299999999999997	59559.30000000001
759.387207	24.299999999999997	59559.30000000001
761.828613	24.4	59804.4
764.27002	24.299999999999997	59559.30000000001
766.7114260000001	24.299999999999997	59559.30000000001
769.152832	24.299999999999997	59559.30000000001
771.594238	24.4	59804.4
774.035645	24.4	59804.4
776.4770510000001	24.4	59804.4
778.918457	24.4	59804.4
781.359863	24.4	59804.4
783.80127	24.5	60049.5
786.2426760000001	24.5	60049.5
788.684082	24.5	60049.5
791.125488	24.6	60294.600000000006
793.566895	24.6	60294.600000000006
796.0083010000001	24.6	60294.600000000006
798.449707	24.7	60539.7
800.891113	24.7	60539.7
803.33252	24.8	60784.80000000001
805.7739260000001	24.8	60784.80000000001
808.215332	24.9	61029.9
810.656738	24.9	61029.9
813.098145	25.0	61275.0
815.5395510000001	25.0	61275.0
817.980957	25.1	61520.1
820.422363	25.1	61520.1
822.86377	25.2	61765.19999999999
825.3051760000001	25.3	62010.3
827.746582	25.400000000000002	62255.399999999994
830.187988	25.5	62500.5
832.629395	25.5	62500.5
835.0708010000001	25.599999999999998	62745.6
837.512207	25.700000000000003	62990.7
839.953613	25.8	63235.80000000001
842.39502	25.9	63480.899999999994
844.8364260000001	26.000000000000004	63726.00000000001
847.277832	26.1	63971.100000000006
849.719238	26.2	64216.19999999999
852.160645	26.3	64461.299999999996
854.6020510000001	26.400000000000002	64706.399999999994
857.043457	26.6	65196.600000000006
859.484863	26.700000000000003	65441.69999999999
861.92627	26.8	65686.8
864.3676760000001	26.899999999999995	65931.90000000001
866.809082	27.1	66422.09999999999
869.250488	27.300000000000004	66912.3
871.691895	27.399999999999995	67157.4
874.133301	27.600000000000005	67647.60000000002
